都道府県,代表駅,移動時間,乗換回数,料金
北海道,札幌駅,08:48発→12:11着3時間23分(乗車2時間19分),乗換：2回,"1,500円"
青森県,青森駅,11:22発→12:45着1時間23分(乗車58分),乗換：1回,"3,410円"
宮城県,仙台駅,11:54発→12:32着38分(乗車38分),乗換：0回,"3,410円"
秋田県,秋田駅,11:07発→12:49着1時間42分(乗車1時間42分),乗換：0回,"2,310円"
山形県,山形駅,10:18発→12:32着2時間14分(乗車1時間46分),乗換：1回,"3,410円"
福島県,福島駅,11:13発→12:32着1時間19分(乗車59分),乗換：1回,"4,840円"
茨城県,水戸駅,08:13発→12:32着4時間19分(乗車3時間50分),乗換：2回,"10,010円"
栃木県,宇都宮駅,10:31発→12:32着2時間1分(乗車1時間41分),乗換：1回,"7,150円"
群馬県,前橋駅,08:50発→12:32着3時間42分(乗車3時間18分),乗換：2回,"9,460円"
埼玉県,大宮駅,10:43発→12:32着1時間49分(乗車1時間49分),乗換：0回,"8,360円"
千葉県,千葉駅,09:29発→12:32着3時間3分(乗車2時間39分),乗換：1回,"9,130円"
東京都,東京駅,10:18発→12:32着2時間14分(乗車2時間14分),乗換：0回,"8,580円"
神奈川県,横浜駅,09:29発→12:32着3時間3分(乗車2時間43分),乗換：1回,"9,130円"
新潟県,新潟駅,09:13発→12:32着3時間19分(乗車2時間56分),乗換：1回,"11,330円"
富山県,富山駅,08:29発→12:32着4時間3分(乗車3時間32分),乗換：1回,"11,550円"
石川県,金沢駅,08:09発→12:32着4時間23分(乗車3時間52分),乗換：1回,"12,210円"
福井県,福井駅,07:34発→12:32着4時間58分(乗車4時間17分),乗換：1回,"12,870円"
山梨県,甲府駅,08:17発→12:32着4時間15分(乗車3時間58分),乗換：1回,"10,010円"
長野県,長野駅,09:17発→12:32着3時間15分(乗車2時間44分),乗換：1回,"10,340円"
岐阜県,岐阜駅,07:52発→12:32着4時間40分(乗車4時間11分),乗換：2回,"12,210円"
静岡県,静岡駅,08:41発→12:32着3時間51分(乗車3時間15分),乗換：1回,"10,340円"
愛知県,名古屋駅,08:29発→12:32着4時間3分(乗車3時間51分),乗換：1回,"11,880円"
三重県,四日市駅,07:30発→12:32着5時間2分(乗車4時間42分),乗換：2回,"12,210円"
滋賀県,大津駅,07:33発→12:32着4時間59分(乗車4時間35分),乗換：2回,"13,200円"
京都府,京都駅,07:54発→12:32着4時間38分(乗車4時間26分),乗換：1回,"13,200円"
大阪府,大阪駅,08:12発→12:32着4時間20分(乗車2時間34分),乗換：4回,"3,830円"
兵庫県,神戸駅,07:46発→12:32着4時間46分(乗車3時間1分),乗換：4回,"3,830円"
奈良県,奈良駅,07:15発→12:32着5時間17分(乗車3時間22分),乗換：4回,"3,830円"
和歌山県,和歌山駅,06:50発→12:32着5時間42分(乗車3時間42分),乗換：4回,"3,830円"
鳥取県,鳥取駅,05:59発→11:46着5時間47分(乗車4時間5分),乗換：4回,"8,580円"
島根県,松江駅,20:19発→12:32着16時間13分(乗車9時間16分),乗換：4回,"16,280円"
岡山県,岡山駅,06:42発→12:32着5時間50分(乗車5時間29分),乗換：1回,"14,740円"
広島県,広島駅,06:14発→12:32着6時間18分(乗車4時間48分),乗換：4回,"8,580円"
山口県,下関駅,21:44発→12:32着14時間48分(乗車7時間18分),乗換：3回,"17,820円"
徳島県,徳島駅,05:50発→11:46着5時間56分(乗車4時間17分),乗換：4回,"8,580円"
香川県,高松駅,05:46発→12:32着6時間46分(乗車4時間35分),乗換：4回,"8,580円"
愛媛県,松山駅,06:21発→12:32着6時間11分(乗車4時間24分),乗換：4回,"8,580円"
高知県,高知駅,06:11発→12:32着6時間21分(乗車4時間29分),乗換：4回,"8,580円"
福岡県,博多駅,08:08発→12:32着4時間24分(乗車2時間53分),乗換：3回,"3,830円"
佐賀県,佐賀駅,07:18発→12:32着5時間14分(乗車3時間30分),乗換：4回,"3,830円"
長崎県,長崎駅,06:17発→12:32着6時間15分(乗車4時間27分),乗換：5回,"3,830円"
熊本県,熊本駅,07:19発→12:32着5時間13分(乗車3時間25分),乗換：4回,"3,830円"
大分県,大分駅,05:12発→12:32着7時間20分(乗車5時間19分),乗換：4回,"3,830円"
宮崎県,宮崎駅,06:36発→12:32着5時間56分(乗車4時間8分),乗換：4回,"3,830円"
鹿児島県,鹿児島中央駅,06:35発→12:32着5時間57分(乗車4時間9分),乗換：4回,"3,830円"
